phase,data/0/acc,data/0/rt,data/0/word,data/1/acc,data/1/rt,data/1/word,data/2/acc,data/2/rt,data/2/word,data/3/acc,data/3/rt,data/3/word,data/4/acc,data/4/rt,data/4/word,data/5/acc,data/5/rt,data/5/word,data/6/acc,data/6/rt,data/6/word,data/7/acc,data/7/rt,data/7/word,data/8/acc,data/8/rt,data/8/word,data/9/acc,data/9/rt,data/9/word,data/10/acc,data/10/rt,data/10/word,data/11/acc,data/11/rt,data/11/word,data/12/acc,data/12/rt,data/12/word,data/13/acc,data/13/rt,data/13/word,data/14/acc,data/14/rt,data/14/word,data/15/acc,data/15/rt,data/15/word,data/16/acc,data/16/rt,data/16/word,data/17/acc,data/17/rt,data/17/word,data/18/acc,data/18/rt,data/18/word,data/19/acc,data/19/rt,data/19/word,ip,time
4,1,1002,Sociable,1,620,Introspective,1,694,Soft Spoken,1,702,Reserved,1,522,Quiet,1,790,Introvert,1,616,Shy,1,511,Extrovert,1,438,Energetic,1,542,Communicative,1,574,Outgoing,1,486,Talkative,1,504,Shy,0,798,Reserved,1,1242,Extrovert,1,670,Communicative,1,1278,Soft Spoken,1,758,Sociable,1,678,Talkative,1,502,Energetic,159.242.248.67,2015-09-07 16:49:57 -04:00
4,1,1206,Outgoing,1,1151,Extrovert,1,815,Shy,1,1239,Communicative,1,750,Quiet,1,719,Sociable,1,2067,Soft Spoken,1,846,Introspective,1,813,Introvert,1,632,Talkative,1,949,Reserved,1,882,Energetic,1,954,Energetic,1,791,Extrovert,1,899,Sociable,1,693,Introvert,1,653,Communicative,1,706,Soft Spoken,1,633,Talkative,1,999,Outgoing,159.242.177.180,2015-09-07 21:15:18 -04:00
4,1,852,Extrovert,1,852,Quiet,1,753,Soft Spoken,1,684,Communicative,1,892,Talkative,1,657,Energetic,1,738,Outgoing,1,681,Shy,1,731,Sociable,1,769,Introspective,1,904,Reserved,1,660,Introvert,1,641,Quiet,1,714,Sociable,1,595,Energetic,1,633,Introvert,1,794,Extrovert,1,703,Communicative,1,676,Reserved,1,621,Shy,159.242.207.237,2015-09-08 00:42:36 -04:00
4,1,2418,Sociable,1,773,Reserved,0,1417,Outgoing,1,1058,Talkative,1,793,Shy,1,769,Energetic,1,1488,Communicative,1,918,Introvert,1,919,Quiet,1,577,Extrovert,1,1310,Introspective,1,1131,Soft Spoken,1,1267,Energetic,1,870,Reserved,0,675,Soft Spoken,1,899,Introvert,1,777,Quiet,1,634,Sociable,1,1282,Shy,1,682,Extrovert,159.242.69.8,2015-09-08 11:17:17 -04:00
4,1,1932,Talkative,1,1203,Soft Spoken,1,908,Introspective,1,733,Shy,1,756,Quiet,1,1263,Reserved,1,711,Energetic,1,601,Introvert,1,569,Communicative,1,818,Extrovert,1,1042,Outgoing,1,665,Sociable,1,523,Sociable,1,672,Extrovert,1,719,Energetic,1,628,Reserved,1,740,Introspective,1,637,Communicative,1,625,Outgoing,0,579,Talkative,50.90.98.196,2015-09-09 23:00:28 -04:00
4,1,870,Talkative,1,813,Reserved,1,1198,Communicative,1,699,Introspective,1,809,Outgoing,1,850,Energetic,1,806,Sociable,1,831,Introvert,1,727,Extrovert,1,658,Quiet,1,735,Soft Spoken,1,616,Shy,1,971,Shy,1,823,Introvert,1,768,Quiet,1,889,Reserved,1,598,Outgoing,1,646,Soft Spoken,1,830,Introspective,1,1270,Communicative,159.242.64.37,2015-09-12 13:58:25 -04:00
4,1,896,Reserved,1,625,Talkative,1,741,Sociable,1,825,Introvert,1,621,Introspective,1,711,Energetic,1,595,Extrovert,1,499,Shy,1,1354,Soft Spoken,1,680,Communicative,1,626,Quiet,1,543,Outgoing,1,587,Sociable,1,551,Shy,1,651,Energetic,1,497,Extrovert,1,802,Talkative,1,911,Communicative,1,1617,Reserved,1,1132,Outgoing,159.242.201.16,2015-09-13 14:56:20 -04:00
4,1,862,Outgoing,1,811,Energetic,1,747,Introvert,1,936,Extrovert,1,928,Sociable,1,752,Communicative,1,730,Quiet,1,882,Talkative,1,649,Introspective,1,953,Shy,1,993,Soft Spoken,1,810,Reserved,1,736,Extrovert,1,858,Introspective,1,633,Shy,1,737,Outgoing,1,737,Soft Spoken,1,817,Quiet,1,865,Energetic,1,714,Reserved,159.242.176.115,2015-09-14 20:21:44 -04:00
4,1,1640,Reserved,1,799,Talkative,1,606,Introspective,1,759,Shy,1,1017,Extrovert,1,514,Introvert,1,638,Energetic,1,637,Communicative,1,943,Soft Spoken,1,537,Quiet,1,664,Sociable,1,613,Outgoing,1,673,Soft Spoken,1,668,Talkative,1,662,Shy,1,576,Sociable,1,1770,Energetic,1,689,Extrovert,1,773,Reserved,1,513,Quiet,172.0.20.92,2015-09-14 20:57:46 -04:00
4,1,1120,Soft Spoken,1,849,Reserved,1,874,Outgoing,1,802,Talkative,1,1452,Introspective,1,794,Communicative,1,847,Sociable,1,749,Energetic,1,609,Quiet,1,835,Extrovert,1,632,Introvert,1,724,Shy,1,802,Sociable,1,859,Energetic,1,681,Communicative,1,704,Extrovert,1,766,Talkative,1,641,Outgoing,1,639,Soft Spoken,1,870,Introspective,159.242.67.76,2015-09-15 07:59:42 -04:00
4,1,955,Reserved,1,526,Outgoing,1,586,Energetic,1,630,Quiet,1,446,Shy,1,543,Soft Spoken,1,616,Communicative,1,537,Talkative,1,679,Introspective,1,423,Introvert,1,521,Extrovert,1,575,Sociable,1,510,Reserved,1,607,Shy,1,778,Introspective,1,593,Quiet,1,526,Introvert,1,545,Soft Spoken,1,454,Outgoing,1,382,Energetic,159.242.70.91,2015-09-15 13:47:35 -04:00
4,1,844,Communicative,1,703,Introspective,1,599,Extrovert,1,588,Outgoing,1,562,Energetic,1,593,Quiet,1,771,Soft Spoken,1,574,Reserved,1,527,Sociable,0,631,Introvert,1,683,Talkative,1,508,Shy,1,677,Talkative,1,754,Quiet,1,654,Outgoing,1,589,Introspective,1,561,Introvert,1,628,Extrovert,1,836,Communicative,1,640,Sociable,50.90.101.45,2015-09-15 15:46:13 -04:00
4,1,727,Outgoing,1,1095,Sociable,1,720,Reserved,1,576,Introvert,1,655,Shy,1,718,Talkative,1,702,Introspective,1,858,Quiet,1,616,Soft Spoken,1,697,Extrovert,0,1139,Communicative,0,917,Energetic,1,735,Extrovert,1,827,Sociable,1,653,Talkative,1,533,Shy,1,583,Soft Spoken,1,652,Reserved,1,745,Communicative,1,700,Introspective,159.242.254.204,2015-09-15 18:33:11 -04:00
