159.242.248.67,07-09-2015 16:47:56,801.76,-551.9,428.4119871913375,-1.2882459326552649,
159.242.177.180,07-09-2015 21:12:35,1164.13,-803.75,1117.2408065729587,-0.7194062329905715,
159.242.207.237,08-09-2015 00:39:42,830.24,-211.5,231.2467657431487,-0.914607386271158,
159.242.69.8,08-09-2015 11:15:12,996.9,-175.1500000000001,820.2304050129404,-0.21353756082382344,
50.90.98.196,09-09-2015 22:57:43,835.2,-417.25,288.6880303132671,-1.4453318329382243,
159.242.64.37,12-09-2015 13:55:47,986.25,-326.4999999999999,487.12751976543115,-0.6702557066724971,
159.242.201.16,13-09-2015 14:52:48,1085.77,64.5,864.735317441568,0.07458929767183749,
159.242.176.115,14-09-2015 20:17:55,971.82,-115.95000000000005,514.6178810161365,-0.22531280835219228,
172.0.20.92,14-09-2015 20:54:24,862.48,-488.70000000000005,513.8866082647476,-0.9509880042412553,
159.242.67.76,15-09-2015 07:55:36,1228.3939393939395,-512.8,1139.7216473039957,-0.44993442145547125,
50.90.101.45,15-09-2015 15:44:09,679.28,-203.45000000000005,239.32710021524076,-0.8500917773918024,
159.242.254.204,15-09-2015 18:30:43,779.59,-94.69999999999993,198.0129431149026,-0.4782515653284724,
159.242.189.89,16-09-2015 18:08:58,871.29,-815.8,866.8993538719417,-0.9410550329242833,
159.242.68.81,17-09-2015 15:22:52,1008.53,-741.95,572.3746257299385,-1.296266407781102,
107.147.164.137,17-09-2015 22:25:44,1094.24,-856.0000000000001,734.8669354519312,-1.1648367326168703,
159.242.186.50,18-09-2015 00:23:40,757.76,-637.6499999999999,510.4619068386331,-1.2491627513384136,
99.137.57.216,18-10-2015 21:42:27,767.92,-149.30000000000007,260.6367892248443,-0.572827805483757,
159.242.178.199,20-10-2015 13:21:50,934.26,-491.04999999999995,460.28703349663044,-1.066834310472912,
159.242.163.248,21-10-2015 22:39:30,988.75,-598.1500000000001,542.9380135323566,-1.1016911416985413,
107.147.178.18,24-10-2015 18:10:15,830.41,-90.5,282.83318903642265,-0.31997659223912933,
159.242.210.66,26-10-2015 13:54:26,761,-452.20000000000005,492.02481696843347,-0.9190593327917677,
159.242.176.113,28-10-2015 16:42:20,1031.54,-707.1500000000001,1033.573070308368,-0.6841799775114312,
159.242.241.29,29-10-2015 18:44:05,1196.27,-39.399999999999864,938.8487713069745,-0.04196629021003137,
50.90.107.155,29-10-2015 19:34:09,705.2,-58.75,280.3288259188228,-0.20957530788151174,
99.59.129.97,30-10-2015 10:55:53,2369.7979797979797,458.8421052631579,1678.3712945677871,0.27338533895821815,
159.242.216.201,30-10-2015 11:25:43,901.22,290.39999999999986,865.2755837867123,0.33561561823935915,
50.90.24.237,02-11-2015 16:46:46,1081.68,-708.95,838.1722479942249,-0.845828529513524,
159.242.194.227,02-11-2015 17:41:41,952.14,31.199999999999818,396.2513447360503,0.07873790313767304,
159.242.203.229,03-11-2015 18:14:32,1209.7,54.549999999999955,1233.90210698231,0.04420934180379191,
159.242.189.229,04-11-2015 09:22:55,951.68,-740.8000000000001,944.6213174247832,-0.784229602206693,
159.242.68.164,04-11-2015 18:22:55,2327.686868686869,-332.4894736842102,2165.9375136624826,-0.15350834065475352,
159.242.162.73,04-11-2015 20:55:41,1110.75,-1029.6000000000001,914.3149824756713,-1.1260889515472818,
159.242.201.65,05-11-2015 18:10:09,844.16,-90.20000000000005,409.29249462193434,-0.22038029327490666,
159.242.176.131,05-11-2015 19:46:14,742.11,27.5,198.1447994232035,0.13878739225077863,
159.242.210.117,05-11-2015 23:27:07,1126.35,33.799999999999955,605.2758197290868,0.055842310064737714,
99.18.34.10,09-11-2015 19:43:29,958.99,-437.5,619.6755954447,-0.7060145715211446,
107.147.169.72,10-11-2015 14:38:41,996,-365.5,541.2548193662385,-0.6752826707907528,
159.242.216.140,11-11-2015 10:05:31,876.21,-1.5,507.14029819299714,-0.0029577614031949017,
159.242.243.201,11-11-2015 13:16:15,1456.03,-177.10000000000014,1763.8423900459688,-0.10040579645859662,
159.242.66.61,11-11-2015 14:16:16,978.45,658.3500000000001,813.049356293473,0.8097294400444325,
159.242.193.16,11-11-2015 20:43:27,908.26,-371.3499999999999,627.0197799808069,-0.5922460691931711,
159.242.177.208,12-11-2015 11:34:02,929.59,-287.0999999999999,373.9013135944996,-0.7678496693150516,
159.242.219.100,12-11-2015 15:53:56,952.97,-430.4000000000001,707.4698145232335,-0.6083651785059526,
99.103.98.239,13-11-2015 13:00:58,1064.72,-394.14999999999986,579.6869397156737,-0.6799359671503442,
159.242.190.84,15-11-2015 21:50:04,812.97,-519.9,559.3950280757754,-0.9293968911171205,
159.242.174.140,16-11-2015 09:34:56,930.14,-400.30000000000007,552.6260014113501,-0.7243596916860136,
159.242.195.91,16-11-2015 11:24:55,918.84,203.89999999999998,447.31616765566815,0.45582971227848995,
159.242.199.213,16-11-2015 16:35:05,923.98,-144.79999999999995,702.4882862423347,-0.20612443344008852,
159.242.175.128,16-11-2015 19:31:26,982.81,-814.3499999999999,787.6580797789264,-1.0338876993791077,
159.242.195.188,16-11-2015 19:42:40,875.36,1.75,505.75155487295365,0.0034601969744603267,
159.242.194.13,17-11-2015 12:18:47,843.69,177.35000000000014,323.7993591716945,0.5477157226427998,
159.242.254.138,19-11-2015 13:32:22,875.34,-446.20000000000005,575.1119311345691,-0.7758489710337704,
159.242.219.238,19-11-2015 18:19:52,647.97,125.19999999999993,322.0687297249869,0.3887369013033574,
159.242.250.104,19-11-2015 19:28:03,893.89,36.44999999999993,273.1845799886768,0.1334262717226234,
