phase,data/0/acc,data/0/rt,data/0/word,data/1/acc,data/1/rt,data/1/word,data/2/acc,data/2/rt,data/2/word,data/3/acc,data/3/rt,data/3/word,data/4/acc,data/4/rt,data/4/word,data/5/acc,data/5/rt,data/5/word,data/6/acc,data/6/rt,data/6/word,data/7/acc,data/7/rt,data/7/word,data/8/acc,data/8/rt,data/8/word,data/9/acc,data/9/rt,data/9/word,data/10/acc,data/10/rt,data/10/word,data/11/acc,data/11/rt,data/11/word,data/12/acc,data/12/rt,data/12/word,data/13/acc,data/13/rt,data/13/word,data/14/acc,data/14/rt,data/14/word,data/15/acc,data/15/rt,data/15/word,data/16/acc,data/16/rt,data/16/word,data/17/acc,data/17/rt,data/17/word,data/18/acc,data/18/rt,data/18/word,data/19/acc,data/19/rt,data/19/word,ip,time
3,1,1972,Introspective,1,893,Talkative,1,1525,Bright,1,902,Quiet,1,1279,Ignorant,1,1086,Soft Spoken,0,1014,Communicative,1,1020,Idiotic,1,1030,Wise,1,766,Introvert,1,598,Extrovert,1,806,Stupid,1,702,Smart,1,866,Brilliant,0,614,Shy,1,2380,Reserved,0,848,Genius,1,1268,Intelligent,1,886,Unintelligent,0,590,Outgoing,159.242.248.67,2015-09-07 16:49:22 -04:00
3,1,4225,Extrovert,1,1262,Smart,1,2985,Communicative,1,3312,Dumb,1,1796,Wise,1,792,Stupid,1,1209,Introvert,1,1599,Brilliant,1,913,Talkative,1,2358,Introspective,1,1170,Energetic,1,2303,Outgoing,1,1168,Genius,1,1928,Bright,1,962,Quiet,1,911,Fool,1,1383,Ignorant,1,774,Intelligent,1,2526,Reserved,1,2093,Soft Spoken,159.242.177.180,2015-09-07 21:14:34 -04:00
3,1,1388,Intelligent,1,978,Reserved,1,741,Shy,1,1181,Brilliant,1,1339,Stupid,1,870,Extrovert,1,1369,Energetic,1,931,Unintelligent,1,704,Idiotic,1,977,Genius,1,724,Dumb,1,749,Ignorant,1,912,Sociable,1,1421,Fool,1,856,Smart,1,862,Introvert,1,719,Soft Spoken,1,840,Bright,0,902,Communicative,1,964,Introspective,159.242.207.237,2015-09-08 00:41:41 -04:00
3,1,944,Idiotic,1,1357,Introspective,1,2081,Introvert,1,558,Genius,1,2270,Ignorant,1,827,Fool,1,2190,Reserved,1,822,Soft Spoken,1,1958,Energetic,1,734,Unintelligent,1,592,Brilliant,1,642,Wise,1,919,Extrovert,0,784,Sociable,1,651,Stupid,1,2670,Shy,1,1398,Intelligent,1,1032,Smart,1,678,Dumb,1,663,Quiet,159.242.69.8,2015-09-08 11:16:32 -04:00
3,1,905,Intelligent,1,577,Smart,0,710,Outgoing,1,1328,Introvert,1,1126,Fool,1,957,Communicative,0,755,Sociable,1,1224,Shy,1,844,Talkative,0,922,Dumb,1,1505,Quiet,1,1313,Unintelligent,1,828,Reserved,1,1092,Genius,1,1100,Soft Spoken,1,930,Idiotic,1,1318,Wise,1,1115,Bright,1,726,Brilliant,1,880,Introspective,50.90.98.196,2015-09-09 22:59:35 -04:00
3,1,1030,Soft Spoken,1,2042,Reserved,1,666,Shy,1,1110,Fool,1,817,Brilliant,1,2698,Energetic,1,2302,Intelligent,1,831,Dumb,1,793,Idiotic,1,1456,Communicative,1,1129,Bright,1,1814,Extrovert,1,1510,Outgoing,1,1350,Stupid,1,718,Ignorant,1,1051,Sociable,1,1030,Talkative,1,1638,Unintelligent,1,824,Introspective,1,2118,Wise,159.242.64.37,2015-09-12 13:57:43 -04:00
3,1,3214,Brilliant,1,785,Shy,1,1202,Stupid,1,1380,Wise,1,651,Introspective,1,886,Sociable,0,1140,Unintelligent,1,1153,Ignorant,1,697,Soft Spoken,1,772,Communicative,1,678,Introvert,1,595,Genius,1,602,Dumb,1,879,Reserved,0,669,Energetic,1,3623,Quiet,1,724,Smart,1,2237,Intelligent,1,931,Fool,1,1369,Bright,159.242.201.16,2015-09-13 14:54:32 -04:00
3,1,2751,Soft Spoken,1,1232,Unintelligent,1,895,Bright,1,841,Fool,1,905,Ignorant,1,850,Dumb,1,1073,Reserved,1,865,Energetic,1,1321,Introvert,1,793,Quiet,1,1458,Talkative,1,1984,Brilliant,1,937,Introspective,1,1209,Wise,1,1065,Outgoing,1,1385,Smart,1,1801,Genius,1,1017,Stupid,1,897,Intelligent,0,1265,Shy,159.242.176.115,2015-09-14 20:20:19 -04:00
3,1,1376,Talkative,1,1412,Ignorant,1,622,Stupid,1,824,Reserved,1,753,Idiotic,1,842,Communicative,1,943,Energetic,0,581,Wise,1,1782,Unintelligent,1,860,Fool,1,784,Soft Spoken,1,1290,Extrovert,1,1056,Dumb,1,810,Shy,0,1050,Bright,1,1494,Outgoing,1,1199,Sociable,1,2396,Smart,1,2591,Quiet,0,1908,Intelligent,172.0.20.92,2015-09-14 20:56:16 -04:00
3,1,4287,Brilliant,1,4417,Genius,1,1455,Fool,1,2679,Introspective,1,751,Shy,1,1174,Communicative,1,3170,Bright,1,2387,Quiet,1,1871,Sociable,1,909,Soft Spoken,1,2162,Wise,1,1339,Smart,1,786,Extrovert,1,1084,Idiotic,1,1081,Introvert,1,1449,Intelligent,1,2492,Dumb,1,917,Energetic,1,3238,Reserved,1,791,Stupid,159.242.67.76,2015-09-15 07:58:49 -04:00
3,1,1004,Outgoing,1,759,Quiet,1,678,Reserved,1,698,Genius,0,577,Talkative,1,707,Smart,1,766,Dumb,1,567,Bright,1,657,Idiotic,1,774,Introvert,1,674,Sociable,1,719,Intelligent,1,886,Brilliant,1,443,Wise,1,662,Introspective,1,606,Shy,1,679,Soft Spoken,1,480,Energetic,1,431,Extrovert,0,583,Ignorant,159.242.70.91,2015-09-15 13:46:54 -04:00
