phase,data/0/acc,data/0/rt,data/0/word,data/1/acc,data/1/rt,data/1/word,data/2/acc,data/2/rt,data/2/word,data/3/acc,data/3/rt,data/3/word,data/4/acc,data/4/rt,data/4/word,data/5/acc,data/5/rt,data/5/word,data/6/acc,data/6/rt,data/6/word,data/7/acc,data/7/rt,data/7/word,data/8/acc,data/8/rt,data/8/word,data/9/acc,data/9/rt,data/9/word,data/10/acc,data/10/rt,data/10/word,data/11/acc,data/11/rt,data/11/word,data/12/acc,data/12/rt,data/12/word,data/13/acc,data/13/rt,data/13/word,data/14/acc,data/14/rt,data/14/word,data/15/acc,data/15/rt,data/15/word,data/16/acc,data/16/rt,data/16/word,data/17/acc,data/17/rt,data/17/word,data/18/acc,data/18/rt,data/18/word,data/19/acc,data/19/rt,data/19/word,ip,time
1,1,1799,Introvert,1,1012,Reserved,1,750,Sociable,1,1073,Introspective,1,686,Energetic,1,846,Soft Spoken,1,736,Talkative,1,710,Quiet,1,610,Outgoing,1,734,Extrovert,1,694,Shy,1,1038,Communicative,1,750,Outgoing,1,726,Energetic,1,526,Shy,1,606,Sociable,1,761,Quiet,1,782,Soft Spoken,1,630,Reserved,1,801,Introvert,159.242.248.67,2015-09-07 16:47:56 -04:00
1,1,2182,Quiet,1,1413,Sociable,1,1270,Introvert,1,798,Extrovert,1,707,Shy,1,684,Communicative,1,1132,Energetic,1,922,Talkative,1,1754,Soft Spoken,1,695,Outgoing,1,1564,Introspective,1,787,Reserved,1,1843,Talkative,1,2329,Energetic,1,757,Communicative,1,1080,Extrovert,1,789,Sociable,1,672,Outgoing,1,685,Quiet,1,721,Soft Spoken,159.242.177.180,2015-09-07 21:12:35 -04:00
1,1,1270,Sociable,1,773,Communicative,1,751,Shy,1,1303,Extrovert,1,811,Quiet,1,779,Outgoing,1,1089,Reserved,1,723,Energetic,1,741,Introvert,1,690,Talkative,1,739,Soft Spoken,1,802,Introspective,1,781,Outgoing,1,619,Shy,1,695,Communicative,1,757,Extrovert,1,745,Energetic,1,758,Sociable,1,665,Talkative,1,799,Introspective,159.242.207.237,2015-09-08 00:39:42 -04:00
1,1,1820,Reserved,1,788,Talkative,1,769,Shy,1,942,Introspective,1,975,Introvert,1,693,Outgoing,1,1015,Energetic,1,734,Communicative,1,751,Quiet,0,967,Sociable,1,734,Extrovert,1,766,Soft Spoken,1,514,Energetic,0,595,Sociable,1,1885,Talkative,0,742,Introvert,1,1276,Shy,1,656,Outgoing,1,782,Extrovert,1,670,Reserved,159.242.69.8,2015-09-08 11:15:12 -04:00
1,1,1739,Extrovert,0,740,Shy,1,2142,Reserved,1,1389,Introspective,1,1010,Communicative,1,676,Sociable,1,762,Introvert,1,770,Soft Spoken,1,591,Quiet,1,590,Outgoing,1,1661,Energetic,1,674,Talkative,1,561,Introvert,1,564,Reserved,1,517,Shy,1,700,Introspective,1,635,Soft Spoken,1,480,Outgoing,0,543,Extrovert,1,853,Quiet,50.90.98.196,2015-09-09 22:57:43 -04:00
1,1,1649,Soft Spoken,1,837,Sociable,1,943,Talkative,1,808,Reserved,1,902,Energetic,1,801,Outgoing,1,1570,Extrovert,1,1569,Communicative,1,1054,Introvert,1,1291,Introspective,1,743,Shy,1,665,Quiet,1,766,Extrovert,1,986,Communicative,1,1226,Outgoing,1,698,Talkative,1,670,Sociable,1,598,Quiet,1,632,Energetic,1,697,Shy,159.242.64.37,2015-09-12 13:55:47 -04:00
1,0,658,Communicative,1,4879,Extrovert,1,1440,Energetic,1,986,Talkative,1,832,Sociable,1,652,Reserved,1,1198,Outgoing,1,700,Soft Spoken,1,1005,Introspective,1,818,Introvert,1,591,Shy,1,626,Quiet,1,573,Reserved,0,585,Communicative,1,994,Talkative,1,1198,Shy,1,1136,Extrovert,1,950,Sociable,1,1110,Introspective,1,773,Energetic,159.242.201.16,2015-09-13 14:52:48 -04:00
1,1,1380,Talkative,1,709,Reserved,1,1082,Sociable,1,1054,Introspective,1,672,Energetic,1,1073,Outgoing,1,761,Soft Spoken,1,1161,Extrovert,1,833,Shy,1,825,Introvert,1,793,Quiet,1,1001,Communicative,1,690,Introvert,1,665,Shy,1,729,Extrovert,1,714,Quiet,1,825,Sociable,1,713,Talkative,1,785,Introspective,1,713,Reserved,159.242.176.115,2015-09-14 20:17:55 -04:00
1,1,1796,Sociable,1,773,Soft Spoken,1,871,Reserved,1,838,Quiet,1,1227,Introvert,1,781,Outgoing,1,696,Talkative,1,613,Shy,1,843,Introspective,1,582,Communicative,1,742,Extrovert,1,799,Energetic,1,620,Extrovert,1,584,Introvert,1,586,Talkative,1,570,Shy,1,578,Energetic,1,955,Sociable,1,608,Soft Spoken,1,912,Outgoing,172.0.20.92,2015-09-14 20:54:24 -04:00
1,1,4692,Extrovert,1,1809,Reserved,1,1120,Introvert,1,17666,Introspective,1,853,Quiet,1,788,Talkative,1,889,Soft Spoken,1,1426,Communicative,1,848,Outgoing,1,785,Energetic,1,972,Sociable,1,693,Shy,1,751,Outgoing,1,814,Shy,1,1017,Extrovert,1,1010,Talkative,1,1257,Communicative,1,976,Reserved,1,1066,Soft Spoken,1,783,Introvert,159.242.67.76,2015-09-15 07:55:36 -04:00
